+--------+--------------------------------------------------------------------------------------+---------+----------------------------------------------------------------------------------+
|Album_ID|Album_Name                                                                            |Artist_ID|Album_Cover                                                                       |
|56      |Make Yourself                                                                         |16       |https://lastfm.freetls.fastly.net/i/u/300x300/4384d762a0d44a45aa5f35ebcade8eef.png|
|57      |Bullet in a Bible                                                                     |17       |https://lastfm.freetls.fastly.net/i/u/300x300/19ac07537e21e1bad10947ea53878f1c.jpg|
|58      |American Idiot                                                                        |17       |https://lastfm.freetls.fastly.net/i/u/300x300/dc89e2bfc86868ed5175d4c2be624096.jpg|
|59      |Satellite                                                                             |18       |https://lastfm.freetls.fastly.net/i/u/300x300/51d14dbf831a42e5c21f58d3e6034aa9.png|
|60      |The Sound of Madness                                                                  |19       |https://lastfm.freetls.fastly.net/i/u/300x300/51e2eb6913cffb979f3979739374a457.jpg|
|61      |Us and Them                                                                           |19       |https://lastfm.freetls.fastly.net/i/u/300x300/bf05d6f9330344b0953bf4c6da202d9e.jpg|
|62      |Contraband                                                                            |20       |https://lastfm.freetls.fastly.net/i/u/300x300/6e68381ec8293f76ca4a5995dbd50a28.jpg|
|63      |Finding Beauty in Negative Spaces                                                     |21       |https://lastfm.freetls.fastly.net/i/u/300x300/0c7646db6d754068afdfba51ee460fd9.png|
|64      |Karma & Effect                                                                        |21       |https://lastfm.freetls.fastly.net/i/u/300x300/a1290b612ecc4f4883ea280c3bb0871c.jpg|
|65      |One-X                                                                                 |22       |https://lastfm.freetls.fastly.net/i/u/300x300/7d574c73804709ed8983e6261af8f1f7.jpg|
|66      |Crush                                                                                 |23       |https://lastfm.freetls.fastly.net/i/u/300x300/17633748ce267254f57e200e0ba3b86b.png|
|67      |Viva la Vida or Death and All His Friends                                             |24       |https://lastfm.freetls.fastly.net/i/u/300x300/c8933ae124dd49eb928ed9cf45d9fd5b.png|
|68      |Hot Fuss                                                                              |25       |https://lastfm.freetls.fastly.net/i/u/300x300/d83c5d906703a8c8042285d0902d9cf4.png|
|69      |The Black Parade                                                                      |26       |https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png|
|70      |The Resistance                                                                        |27       |https://lastfm.freetls.fastly.net/i/u/300x300/dd4c95317aaa3537dbf0a8dc4d9c7d79.png|
|71      |Weathered                                                                             |28       |https://lastfm.freetls.fastly.net/i/u/300x300/397a546626eecdfbd55527580a5dbc2a.png|
|72      |Human Clay                                                                            |28       |https://lastfm.freetls.fastly.net/i/u/300x300/c4010ccecd184dc48916e4010e82d26c.png|
|73      |Faceless                                                                              |29       |https://lastfm.freetls.fastly.net/i/u/300x300/7edb32e7079a4f1eaf522b05e85cae03.png|
|74      |The Gift of Game                                                                      |30       |https://lastfm.freetls.fastly.net/i/u/300x300/e17e8ab11291469a84bc869d59b9cf09.png|
|75      |All That You Can't Leave Behind                                                       |31       |https://lastfm.freetls.fastly.net/i/u/300x300/08903e8de53947859fbac649e3d011e1.png|
|76      |Get Born                                                                              |32       |https://lastfm.freetls.fastly.net/i/u/300x300/22765d073954a2e392c5faafb3fddb45.png|
|77      |The Modern Age                                                                        |33       |https://lastfm.freetls.fastly.net/i/u/300x300/3dd6242e6b034d01b1d7d9ffb91b1c90.png|
|78      |Daughtry                                                                              |34       |https://lastfm.freetls.fastly.net/i/u/300x300/28926f035afa400ea1fb16b5b686b45c.png|
|79      |Phobia                                                                                |35       |https://lastfm.freetls.fastly.net/i/u/300x300/2e5b0bc8cf774381c37c150f159e58c4.png|
|80      |Greatest Hits                                                                         |36       |https://lastfm.freetls.fastly.net/i/u/300x300/b6bdf6d2572045fb95a4f00ffb43af66.jpg|
|81      |Come What(ever) May                                                                   |37       |https://lastfm.freetls.fastly.net/i/u/300x300/30343f165ec1e8d88ab16ff7b580a2fd.jpg|
|82      |Make Believe                                                                          |38       |https://lastfm.freetls.fastly.net/i/u/300x300/1c8439b16ed4ca4e0bac727e7b325581.jpg|
|83      |Hash Pipe                                                                             |38       |https://lastfm.freetls.fastly.net/i/u/300x300/bc35ef5541e642bbb8f52bf3d21ba126.jpg|
|84      |Just Push Play                                                                        |39       |https://lastfm.freetls.fastly.net/i/u/300x300/35cf2fbd90387a2567b80f363d574cbe.png|
|85      |Ocean Avenue                                                                          |40       |https://lastfm.freetls.fastly.net/i/u/300x300/0b24302cfb804914c9cc2ee0834d7d47.png|
|86      |No Name Face                                                                          |41       |https://lastfm.freetls.fastly.net/i/u/300x300/17921ec65047e55febc547aed844d094.png|
|87      |Black Rain (Expanded Edition)                                                         |42       |https://lastfm.freetls.fastly.net/i/u/300x300/600468a17ffb5a0178fda288a8cd161b.png|
|88      |Wonder What's Next                                                                    |43       |https://lastfm.freetls.fastly.net/i/u/300x300/24f29ce7397843bc9afbc96c7409b99b.png|
|89      |Stiff Upper Lip                                                                       |44       |https://lastfm.freetls.fastly.net/i/u/300x300/cba38950aa26456b848af3f809f5107e.png|
|90      |I Disappear                                                                           |45       |https://lastfm.freetls.fastly.net/i/u/300x300/4fef6d80298f4220c231247e3bd99f56.png|
|91      |Death Magnetic                                                                        |45       |https://lastfm.freetls.fastly.net/i/u/300x300/bb80178de028c2e7b1897ff87cbdd58e.png|
|92      |Bleed American                                                                        |46       |https://lastfm.freetls.fastly.net/i/u/300x300/5f6bed4795106f6a5ace9295accf4493.jpg|
|93      |Famous                                                                                |47       |https://lastfm.freetls.fastly.net/i/u/300x300/3e71bf4310694162c19cd90fa6ef20c2.png|
|94      |No Pads, No Helmets... Just Balls                                                     |48       |https://lastfm.freetls.fastly.net/i/u/300x300/26a25561e8ecb5ed37ea3e5260156d22.jpg|
|95      |Gravity                                                                               |49       |https://lastfm.freetls.fastly.net/i/u/300x300/a55d0509b80a472395dc18507d714800.png|
|96      |Broken Boy Soldiers                                                                   |50       |https://lastfm.freetls.fastly.net/i/u/300x300/396438cc58f2beea968a17d9b4c8bce4.png|
|97      |Backspacer                                                                            |51       |https://lastfm.freetls.fastly.net/i/u/300x300/3c2c7235d48443e1a84338030ca6e0d9.png|
|98      |Attack on Titan (Original Soundtrack)                                                 |52       |https://lastfm.freetls.fastly.net/i/u/300x300/5a5fb065e10f4e88ce81d3057bac6b73.jpg|
|99      |TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック                                                    |53       |https://lastfm.freetls.fastly.net/i/u/300x300/0e84ece45ba93863907867545f18069b.jpg|
|100     |劇場版「進撃の巨人」後編~自由の翼~エンディングテーマ theDOGS produced by 澤野弘之                                  |53       |https://lastfm.freetls.fastly.net/i/u/300x300/34097f11613fcb759882fd0dfcc56dc2.jpg|
|101     |Sword Art Online the Movie -Progressive- Aria of a Starless Night Original Sound Track|54       |https://lastfm.freetls.fastly.net/i/u/300x300/8454f1131b80a49ab01e2fd0d9f24e7d.png|
|102     |.hack//SIGN ORIGINAL SOUND & SONG TRACK2                                              |55       |https://lastfm.freetls.fastly.net/i/u/300x300/c99d808d33b4da9c1ebdbdcfbd813e54.png|
|103     |PandoraHearts オリジナルサウンドトラック2                                                          |55       |https://lastfm.freetls.fastly.net/i/u/300x300/8ed4cc1d9aa948eec868123ecc306293.png|
|104     |BORN PINK                                                                             |56       |https://lastfm.freetls.fastly.net/i/u/300x300/b1da75b2bb4e24371262130c628fc00e.jpg|
|105     |Pink Venom                                                                            |56       |https://lastfm.freetls.fastly.net/i/u/300x300/1386df18af239aa912623b9f035a3a8a.jpg|
|106     |AS IF IT'S YOUR LAST -KR Ver.-                                                        |56       |https://lastfm.freetls.fastly.net/i/u/300x300/4cb334ff1c4f6d4e5aa4c2e6d2e1cf4d.jpg|
|107     |SQUARE TWO                                                                            |56       |https://lastfm.freetls.fastly.net/i/u/300x300/f919847d9088c5472eddb395e3d42a93.png|
|108     |BLACKPINK IN YOUR AREA                                                                |56       |https://lastfm.freetls.fastly.net/i/u/300x300/cb31d13d768cc8c0a8a39d3130742535.png|
|109     |THE ALBUM                                                                             |56       |https://lastfm.freetls.fastly.net/i/u/300x300/2b346bdcc6f56e7d1f1c546b13cdacfb.png|
|110     |Lovesick Girls                                                                        |56       |https://lastfm.freetls.fastly.net/i/u/300x300/eff02664f896688137e3249812bdaba7.jpg|
|111     |Ready For Love                                                                        |56       |https://lastfm.freetls.fastly.net/i/u/300x300/35066d1cce97f224608e1481ea76e2c5.jpg|
|112     |KILL THIS LOVE                                                                        |56       |https://lastfm.freetls.fastly.net/i/u/300x300/1975eaa135b07d0301db7d684da98f8e.png|
|113     |SQUARE UP                                                                             |56       |https://lastfm.freetls.fastly.net/i/u/300x300/cb31d13d768cc8c0a8a39d3130742535.png|
|114     |BLACKPINK 2021 'THE SHOW' LIVE                                                        |56       |https://lastfm.freetls.fastly.net/i/u/300x300/eff02664f896688137e3249812bdaba7.jpg|
|115     |DDU-DU DDU-DU (Remix) [JP Ver.]                                                       |56       |https://lastfm.freetls.fastly.net/i/u/300x300/cb31d13d768cc8c0a8a39d3130742535.png|
|116     |Hold The Girl                                                                         |57       |https://lastfm.freetls.fastly.net/i/u/300x300/4757902c3eec5c976f8bf7a02d13982e.jpg|
|117     |SAWAYAMA                                                                              |57       |https://lastfm.freetls.fastly.net/i/u/300x300/a0edf262beeeca9eab5699e26be65c5f.jpg|
|118     |Let Go                                                                                |58       |https://lastfm.freetls.fastly.net/i/u/300x300/5196120dec2446b840ca061ed819f300.jpg|
|119     |Control Room · Live EP                                                                |58       |https://lastfm.freetls.fastly.net/i/u/300x300/ccd3d99d17894771c79b3c97ea0772e0.png|
|120     |Goodbye Lullaby                                                                       |58       |https://lastfm.freetls.fastly.net/i/u/300x300/9b1cf7d6dbc64763a122024ac86d1cd3.png|
|121     |Love It When You Hate Me                                                              |58       |https://lastfm.freetls.fastly.net/i/u/300x300/a0afed38b4e45e8c36b21f145be8cdca.png|
|122     |The Softer Side                                                                       |58       |https://lastfm.freetls.fastly.net/i/u/300x300/4ea7d8c397104ec4ce41939341693335.jpg|
|123     |Avril Lavigne                                                                         |58       |https://lastfm.freetls.fastly.net/i/u/300x300/b299e9a74bb0777fd56f7319d8e5e3f8.png|
|124     |Bite Me                                                                               |58       |https://lastfm.freetls.fastly.net/i/u/300x300/6077e4b63ea81ded2746fb4ddbef5c91.png|
|125     |Under My Skin                                                                         |58       |https://lastfm.freetls.fastly.net/i/u/300x300/a0beb5604cbf4731ae6856863b82761a.png|
|126     |We Are Warriors                                                                       |58       |https://lastfm.freetls.fastly.net/i/u/300x300/9c86194036a9f9f9a5d189e61372c2ba.png|
|127     |Hot                                                                                   |58       |https://lastfm.freetls.fastly.net/i/u/300x300/a338fe1cc4324c4dccb5374a80da1b24.png|
|128     |Love Sux                                                                              |58       |https://lastfm.freetls.fastly.net/i/u/300x300/197a5944313e6e0f91c0687de99f621f.png|
|129     |Alice                                                                                 |58       |https://lastfm.freetls.fastly.net/i/u/300x300/022eae87cd89488a8da99e027b05c63a.png|
|130     |Keep Holding On                                                                       |58       |https://lastfm.freetls.fastly.net/i/u/300x300/719e10f15d586eb8c5417da6c984b069.png|
|131     |Let Go (20th Anniversary Edition)                                                     |58       |https://lastfm.freetls.fastly.net/i/u/300x300/b484dea816c911055daac108b5fe263a.jpg|
|132     |Fly                                                                                   |58       |https://lastfm.freetls.fastly.net/i/u/300x300/1442ea92edfefbd8c9e8e1240852f5ba.jpg|
|133     |American Wedding                                                                      |58       |https://lastfm.freetls.fastly.net/i/u/300x300/f04849c8672a19e10578a7ed397cfc48.png|
|134     |Avril Lavigne (Expanded Edition)                                                      |58       |https://lastfm.freetls.fastly.net/i/u/300x300/b299e9a74bb0777fd56f7319d8e5e3f8.png|
|135     |Bored                                                                                 |59       |https://lastfm.freetls.fastly.net/i/u/300x300/8bccd9c4336ffdbe502671287bc1b85c.jpg|
|136     |Guitar Songs                                                                          |59       |https://lastfm.freetls.fastly.net/i/u/300x300/951a8387b598c0bbe4aa53b3627c0f35.jpg|
|137     |NDA                                                                                   |59       |https://lastfm.freetls.fastly.net/i/u/300x300/b3fe6ae4c23b0d24ca313475dbaffbf3.jpg|
|138     |Happier Than Ever: Acapellas                                                          |59       |https://lastfm.freetls.fastly.net/i/u/300x300/0954c526dfcf3189834d383179d4728d.png|
|139     |Happier Than Ever                                                                     |59       |https://lastfm.freetls.fastly.net/i/u/300x300/0f0bd3c40aaf60b9900d74fb70b6ad09.jpg|
|140     |my boy                                                                                |59       |https://lastfm.freetls.fastly.net/i/u/300x300/8937bb7aa463b2ce97f466ee9c93c00e.jpg|
|141     |dont smile at me                                                                      |59       |https://lastfm.freetls.fastly.net/i/u/300x300/271b0a5eaeda187d5d768e3b4310fa3f.jpg|
|142     |bitches broken hearts                                                                 |59       |https://lastfm.freetls.fastly.net/i/u/300x300/2e01f5ad1d34c9b0fff863a52823b63d.jpg|
|143     |Six Feet Under                                                                        |59       |https://lastfm.freetls.fastly.net/i/u/300x300/398ed3dbd32bd7dd9721695e2d187ed1.jpg|
|144     |WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?                                              |59       |https://lastfm.freetls.fastly.net/i/u/300x300/ee8173de0f04cbbb282fc62a5583fda9.jpg|
|145     |Shinigami Eyes                                                                        |60       |https://lastfm.freetls.fastly.net/i/u/300x300/d73273e78eb1b29dbca52b4157da1708.jpg|
|146     |abcdefu (chill)                                                                       |61       |https://lastfm.freetls.fastly.net/i/u/300x300/b5a31e3dc91414d110dc009a88b81d9a.png|
|147     |Madonna                                                                               |62       |https://lastfm.freetls.fastly.net/i/u/300x300/e579eddd569c6084597c35e715dc6dd4.jpg|
|148     |Daddy's Home                                                                          |63       |https://lastfm.freetls.fastly.net/i/u/300x300/39c91ab844ec76c72823d3343d0480de.jpg|
|149     |The Nowhere Inn                                                                       |63       |https://lastfm.freetls.fastly.net/i/u/300x300/3bcf16e1f315613e31b60d08c8337c5c.jpg|
|150     |MASSEDUCTION                                                                          |63       |https://lastfm.freetls.fastly.net/i/u/300x300/daf17bc1013ebe92f8f2b230bfbd5b5e.jpg|
|151     |Growing Up                                                                            |64       |https://lastfm.freetls.fastly.net/i/u/300x300/b3731afc603b537c71cf2f640fd1ce1f.jpg|
|152     |Clementine                                                                            |65       |https://lastfm.freetls.fastly.net/i/u/300x300/8294e0c188988a6290bd47faa91cd853.jpg|
|153     |Public Storage                                                                        |66       |https://lastfm.freetls.fastly.net/i/u/300x300/09232883ee96fc9bfd6e39081b083d2d.jpg|
